week,team1,team2,link
1,cows,bentley,https://qlstats.net/game/8279332
1,cows,bentley,https://qlstats.net/game/8279345
1,cows,bentley,https://qlstats.net/game/8279359
1,cows,bentley,https://qlstats.net/game/8279373
1,cows,bentley,https://qlstats.net/game/8279381
1,cows,bentley,https://qlstats.net/game/8279392
2,st01c,bentley,https://qlstats.net/game/8304169
2,st01c,bentley,https://qlstats.net/game/8304181
2,st01c,bentley,https://qlstats.net/game/8304200
2,st01c,bentley,https://qlstats.net/game/8304217
2,st01c,bentley,https://qlstats.net/game/8304230
2,st01c,bentley,https://qlstats.net/game/8304239
2,namastex,cows,https://qlstats.net/game/8307635
2,namastex,cows,https://qlstats.net/game/8307647
2,namastex,cows,https://qlstats.net/game/8307662
2,namastex,cows,https://qlstats.net/game/8307676
2,namastex,cows,https://qlstats.net/game/8307688
2,namastex,cows,https://qlstats.net/game/8307697
1,namastex,torrin,https://qlstats.net/game/8311353
1,namastex,torrin,https://qlstats.net/game/8311374
1,namastex,torrin,https://qlstats.net/game/8311392
1,namastex,torrin,https://qlstats.net/game/8311406
1,namastex,torrin,https://qlstats.net/game/8311416
2,torrin,trex,https://qlstats.net/game/8313392
2,torrin,trex,https://qlstats.net/game/8313407
2,torrin,trex,https://qlstats.net/game/8313418
2,torrin,trex,https://qlstats.net/game/8313434
2,torrin,trex,https://qlstats.net/game/8313473
3,flood,izzy,https://qlstats.net/game/8327195
3,flood,izzy,https://qlstats.net/game/8327206
3,flood,izzy,https://qlstats.net/game/8327214
3,flood,izzy,https://qlstats.net/game/8327224
3,flood,izzy,https://qlstats.net/game/8327238
3,flood,izzy,https://qlstats.net/game/8327247
2,flood,aftermath,https://qlstats.net/game/8329303
2,flood,aftermath,https://qlstats.net/game/8329316
2,flood,aftermath,https://qlstats.net/game/8329323
2,flood,aftermath,https://qlstats.net/game/8329333
2,flood,aftermath,https://qlstats.net/game/8329340
2,flood,aftermath,https://qlstats.net/game/8329358
2,monster,doc,https://qlstats.net/game/8329339
2,monster,doc,https://qlstats.net/game/8329353
2,monster,doc,https://qlstats.net/game/8329374
2,monster,doc,https://qlstats.net/game/8329388
2,monster,doc,https://qlstats.net/game/8329403
2,monster,doc,https://qlstats.net/game/8329425
5,namastex,aftermath,https://qlstats.net/game/8331293
5,namastex,aftermath,https://qlstats.net/game/8331310
5,namastex,aftermath,https://qlstats.net/game/8331327
5,namastex,aftermath,https://qlstats.net/game/8331342
5,namastex,aftermath,https://qlstats.net/game/8331353
5,namastex,aftermath,https://qlstats.net/game/8331368
6,izzy,namastex,https://qlstats.net/game/8332959
6,izzy,namastex,https://qlstats.net/game/8332980
6,izzy,namastex,https://qlstats.net/game/8332994
6,izzy,namastex,https://qlstats.net/game/8333005
6,izzy,namastex,https://qlstats.net/game/8333019
6,izzy,namastex,https://qlstats.net/game/8333032
3,torrin,doc,https://qlstats.net/game/8342220
3,torrin,doc,https://qlstats.net/game/8342244
3,torrin,doc,https://qlstats.net/game/8342271
3,torrin,doc,https://qlstats.net/game/8342288
3,torrin,doc,https://qlstats.net/game/8342307
3,torrin,doc,https://qlstats.net/game/8342328
8,namastex,doc,https://qlstats.net/game/8346001
8,namastex,doc,https://qlstats.net/game/8346020
8,namastex,doc,https://qlstats.net/game/8346038
8,namastex,doc,https://qlstats.net/game/8346067
8,namastex,doc,https://qlstats.net/game/8346078
8,namastex,doc,https://qlstats.net/game/8346096
?,trex,doc,https://qlstats.net/game/8347824
?,trex,doc,https://qlstats.net/game/8347841
?,trex,doc,https://qlstats.net/game/8347861
?,trex,doc,https://qlstats.net/game/8347881
?,trex,doc,https://qlstats.net/game/8347895
8,stoic,cows,https://qlstats.net/game/8351863
8,stoic,cows,https://qlstats.net/game/8351883
8,stoic,cows,https://qlstats.net/game/8351893
8,stoic,cows,https://qlstats.net/game/8351908
8,stoic,cows,https://qlstats.net/game/8351926
8,stoic,cows,https://qlstats.net/game/8351941
5,stoic,flood,https://qlstats.net/game/8353964
5,stoic,flood,https://qlstats.net/game/8353977
5,stoic,flood,https://qlstats.net/game/8353992
5,stoic,flood,https://qlstats.net/game/8354008
5,stoic,flood,https://qlstats.net/game/8354027
5,stoic,flood,https://qlstats.net/game/8354040
3,cows,trex,https://qlstats.net/game/8356026
3,cows,trex,https://qlstats.net/game/8356035
3,cows,trex,https://qlstats.net/game/8356060
3,cows,trex,https://qlstats.net/game/8356072
3,cows,trex,https://qlstats.net/game/8356085
3,cows,trex,https://qlstats.net/game/8356102
4,stoic,trex,https://qlstats.net/game/8357793
4,stoic,trex,https://qlstats.net/game/8357823
4,stoic,trex,https://qlstats.net/game/8357837
4,stoic,trex,https://qlstats.net/game/8357852
4,stoic,trex,https://qlstats.net/game/8357868
1,flood,doc,https://qlstats.net/game/8362694
1,flood,doc,https://qlstats.net/game/8362715
1,flood,doc,https://qlstats.net/game/8362739
1,flood,doc,https://qlstats.net/game/8362757
1,flood,doc,https://qlstats.net/game/8362771
1,flood,doc,https://qlstats.net/game/8362787
7,trex,namastex,https://qlstats.net/game/8362660
7,trex,namastex,https://qlstats.net/game/8362681
7,trex,namastex,https://qlstats.net/game/8362698
7,trex,namastex,https://qlstats.net/game/8362714
7,trex,namastex,https://qlstats.net/game/8362736
7,trex,namastex,https://qlstats.net/game/8362752
4,namastex,flood,https://qlstats.net/game/8364808
4,namastex,flood,https://qlstats.net/game/8364819
4,namastex,flood,https://qlstats.net/game/8364834
4,namastex,flood,https://qlstats.net/game/8364844
4,namastex,flood,https://qlstats.net/game/8364855
4,namastex,flood,https://qlstats.net/game/8364865
7,flood,torrin,https://qlstats.net/game/8367159
7,flood,torrin,https://qlstats.net/game/8367171
7,flood,torrin,https://qlstats.net/game/8367183
7,flood,torrin,https://qlstats.net/game/8367197
7,flood,torrin,https://qlstats.net/game/8367203
7,flood,torrin,https://qlstats.net/game/8367209
8,izzy,aftermath,https://qlstats.net/game/8371061
8,izzy,aftermath,https://qlstats.net/game/8371077
8,izzy,aftermath,https://qlstats.net/game/8371088
8,izzy,aftermath,https://qlstats.net/game/8371103
8,izzy,aftermath,https://qlstats.net/game/8371118
8,izzy,aftermath,https://qlstats.net/game/8371132
7,izzy,doc,https://qlstats.net/game/8372770
7,izzy,doc,https://qlstats.net/game/8372789
7,izzy,doc,https://qlstats.net/game/8372798
7,izzy,doc,https://qlstats.net/game/8372814
7,izzy,doc,https://qlstats.net/game/8372826
7,izzy,doc,https://qlstats.net/game/8372840
7,cows,aftermath,https://qlstats.net/game/8369315
7,cows,aftermath,https://qlstats.net/game/8369326
7,cows,aftermath,https://qlstats.net/game/8369336
7,cows,aftermath,https://qlstats.net/game/8369348
7,cows,aftermath,https://qlstats.net/game/8369362
4,torrin,aftermath,https://qlstats.net/game/8369221
4,torrin,aftermath,https://qlstats.net/game/8369237
4,torrin,aftermath,https://qlstats.net/game/8369250
4,torrin,aftermath,https://qlstats.net/game/8369262
4,torrin,aftermath,https://qlstats.net/game/8369275
4,torrin,aftermath,https://qlstats.net/game/8369295
3,stoic,namastex,https://qlstats.net/game/8384320
3,stoic,namastex,https://qlstats.net/game/8384331
3,stoic,namastex,https://qlstats.net/game/8384346
3,stoic,namastex,https://qlstats.net/game/8384363
3,stoic,namastex,https://qlstats.net/game/8384370
3,stoic,namastex,https://qlstats.net/game/8384382
7,stoic,monster,https://qlstats.net/game/8386265
7,stoic,monster,https://qlstats.net/game/8386294
7,stoic,monster,https://qlstats.net/game/8386313
7,stoic,monster,https://qlstats.net/game/8386331
7,stoic,monster,https://qlstats.net/game/8386346
6,stoic,doc,https://qlstats.net/game/8391847
6,stoic,doc,https://qlstats.net/game/8391872
6,stoic,doc,https://qlstats.net/game/8391892
6,stoic,doc,https://qlstats.net/game/8391910
6,stoic,doc,https://qlstats.net/game/8391932
6,stoic,doc,https://qlstats.net/game/8391957
6,torrin,cows,https://qlstats.net/game/8391988
6,torrin,cows,https://qlstats.net/game/8392008
6,torrin,cows,https://qlstats.net/game/8392019
6,torrin,cows,https://qlstats.net/game/8392030
6,torrin,cows,https://qlstats.net/game/8392047
6,torrin,cows,https://qlstats.net/game/8392059
5,izzy,torrin,https://qlstats.net/game/8394321
5,izzy,torrin,https://qlstats.net/game/8394347
5,izzy,torrin,https://qlstats.net/game/8394336
5,izzy,torrin,https://qlstats.net/game/8394379
5,izzy,torrin,https://qlstats.net/game/8394389
6,trex,aftermath,https://qlstats.net/game/8396387
6,trex,aftermath,https://qlstats.net/game/8396404
6,trex,aftermath,https://qlstats.net/game/8396421
6,trex,aftermath,https://qlstats.net/game/8396440
6,trex,aftermath,https://qlstats.net/game/8396456
6,trex,aftermath,https://qlstats.net/game/8396473
8,monster,torrin,https://qlstats.net/game/8396522
8,monster,torrin,https://qlstats.net/game/8396536
8,monster,torrin,https://qlstats.net/game/8396548
8,monster,torrin,https://qlstats.net/game/8396572
8,monster,torrin,https://qlstats.net/game/8396584
8,monster,torrin,https://qlstats.net/game/8396594
3,monster,aftermath,https://qlstats.net/game/8396405
3,monster,aftermath,https://qlstats.net/game/8396423
3,monster,aftermath,https://qlstats.net/game/8396439
3,monster,aftermath,https://qlstats.net/game/8396467
3,monster,aftermath,https://qlstats.net/game/8396487
3,monster,aftermath,https://qlstats.net/game/8396498
8,flood,trex,https://qlstats.net/game/8398083
8,flood,trex,https://qlstats.net/game/8398101
8,flood,trex,https://qlstats.net/game/8398115
8,flood,trex,https://qlstats.net/game/8398132
8,flood,trex,https://qlstats.net/game/8398147
8,flood,trex,https://qlstats.net/game/8398160
4,doc,cows,https://qlstats.net/game/8400050
4,doc,cows,https://qlstats.net/game/8400087
4,doc,cows,https://qlstats.net/game/8400106
4,doc,cows,https://qlstats.net/game/8400122
4,doc,cows,https://qlstats.net/game/8400145
5,monster,cows,https://qlstats.net/game/8403758
5,monster,cows,https://qlstats.net/game/8403768
5,monster,cows,https://qlstats.net/game/8403785
5,monster,cows,https://qlstats.net/game/8403804
5,monster,cows,https://qlstats.net/game/8403821
5,monster,cows,https://qlstats.net/game/8403835
