week,redTeamId,redScore,blueTeamId,blueScore
1,6,81,9,60
1,10,89,8,43
1,5,60,2,74
1,4,76,3,63
1,1,57,7,77
2,5,88,9,48
2,10,93,6,43
2,8,59,3,77
2,1,71,2,57
2,4,92,7,45
3,1,53,9,71
3,8,78,7,56
3,6,93,3,34
3,5,59,10,73
3,4,80,2,63
4,5,92,3,44
4,4,96,9,43
4,10,81,1,37
4,2,68,8,66
4,6,61,7,80
5,10,79,2,55
5,3,91,7,49
5,5,84,1,53
5,8,88,9,47
5,4,70,6,57
6,10,81,9,54
6,1,49,4,82
6,6,48,8,79
6,5,62,7,75
6,3,44,2,91
7,3,73,10,56
7,8,87,1,40
7,6,95,2,45
7,5,62,4,81
7,7,82,9,52
8,10,92,7,44
8,5,55,6,77
8,9,80,2,61
8,4,78,8,59
8,3,86,1,37
